City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Saint George,37.1041,-113.5841,109.44,14,0,6.91,US,2022-07-16 23:18:00
1,Cockburn Town,21.4612,-71.1419,82.36,78,40,17.27,TC,2022-07-16 23:20:05
2,Gat,31.61,34.7642,75.88,100,0,2.37,IL,2022-07-16 23:20:06
3,Parvatsar,26.8833,74.7667,79.2,83,89,11.27,IN,2022-07-16 23:20:06
4,Punta Arenas,-53.15,-70.9167,33.91,69,75,11.5,CL,2022-07-16 23:20:07
5,Saint George,37.1041,-113.5841,109.44,14,0,6.91,US,2022-07-16 23:18:00
6,Saint George,37.1041,-113.5841,109.44,14,0,6.91,US,2022-07-16 23:18:00
7,Cockburn Town,21.4612,-71.1419,82.36,78,40,17.27,TC,2022-07-16 23:20:05
8,Gat,31.61,34.7642,75.88,100,0,2.37,IL,2022-07-16 23:20:06
9,Parvatsar,26.8833,74.7667,79.2,83,89,11.27,IN,2022-07-16 23:20:06
10,Punta Arenas,-53.15,-70.9167,33.91,69,75,11.5,CL,2022-07-16 23:20:07
11,Saint George,37.1041,-113.5841,109.44,14,0,6.91,US,2022-07-16 23:18:00
